City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,Kaihua,23.3687,104.28,81.39,39,0,11.56,CN,2022-04-27 03:01:21
82,Phan Thiet,10.9333,108.1,90.32,56,23,5.5,VN,2022-04-27 02:57:05
83,Kruisfontein,-34.0033,24.7314,51.62,79,5,4.38,ZA,2022-04-27 03:01:22
84,Havre-Saint-Pierre,50.2334,-63.5986,35.96,100,100,2.3,CA,2022-04-27 03:00:07
85,Diffa,13.3154,12.6113,83.41,16,57,9.04,NE,2022-04-27 03:01:23
86,Progreso,21.2833,-89.6667,80.11,80,24,14.74,MX,2022-04-27 03:01:23
87,Qaanaaq,77.484,-69.3632,11.41,61,44,8.46,GL,2022-04-27 03:01:24
88,Ikom,5.9667,8.7063,76.26,91,97,1.23,NG,2022-04-27 03:01:24
89,La Peca,-5.6111,-78.435,68.65,85,32,3.6,PE,2022-04-27 03:01:25
90,Grand Gaube,-20.0064,57.6608,73.38,79,15,1.99,MU,2022-04-27 03:01:25
91,Rocha,-34.4833,-54.3333,69.73,89,100,18.1,UY,2022-04-27 02:57:37
92,Sinnamary,5.3833,-52.95,78.06,89,100,6.76,GF,2022-04-27 03:01:26
93,Azle,32.8951,-97.5459,66.54,67,0,6.91,US,2022-04-27 03:02:26
94,Guatire,10.4762,-66.5427,78.69,97,100,1.3,VE,2022-04-27 03:02:27
95,Marsa Matruh,31.3525,27.2453,62.29,66,0,2.93,EG,2022-04-27 03:02:27
96,Platonovka,52.7106,41.952,52.75,90,1,5.06,RU,2022-04-27 03:02:28
97,Barrow,71.2906,-156.7887,10.42,85,100,12.66,US,2022-04-27 03:01:07
98,Adrar,20.5022,-10.0711,67.71,39,0,11.34,MR,2022-04-27 03:02:24
99,New Norfolk,-42.7826,147.0587,61.92,75,100,1.97,AU,2022-04-27 03:02:28
100,Wasilla,61.5814,-149.4394,58.55,33,40,6.91,US,2022-04-27 03:02:29
101,Baker City,44.7749,-117.8344,42.6,73,63,5.06,US,2022-04-27 03:02:29
102,Evensk,61.95,159.2333,30.67,94,97,1.86,RU,2022-04-27 03:02:30
103,Airai,-8.9266,125.4092,74.98,53,99,1.99,TL,2022-04-27 03:02:30
104,Port Said,31.2565,32.2841,66.18,69,64,7.31,EG,2022-04-27 03:02:30
105,Kaitangata,-46.2817,169.8464,54.27,78,83,5.21,NZ,2022-04-27 03:02:31
106,Ihosy,-22.4,46.1167,68.25,92,100,12.06,MG,2022-04-27 03:02:31
107,Katsuura,35.1333,140.3,71.62,84,100,27.16,JP,2022-04-27 03:02:32
108,Olafsvik,64.8945,-23.7142,42.31,77,92,3.4,IS,2022-04-27 03:02:32
109,Kaberamaido,1.7389,33.1594,66.15,96,100,5.1,UG,2022-04-27 03:02:32
110,College Station,30.628,-96.3344,66.6,75,0,3.44,US,2022-04-27 03:02:29
111,Sabla,12.7525,4.7077,82.87,14,30,6.55,NG,2022-04-27 03:02:33
112,Abu Kamal,34.4506,40.9171,69.46,59,66,5.93,SY,2022-04-27 03:02:33
113,Vardo,70.3705,31.1107,21.65,68,99,30.74,NO,2022-04-27 03:02:34
114,Rawson,-43.3002,-65.1023,50.58,31,73,16.96,AR,2022-04-27 03:01:44
115,Mana,5.6592,-53.7767,77.58,91,99,6.31,GF,2022-04-27 03:02:35
116,Havoysund,70.9963,24.6622,21.43,75,100,24.4,NO,2022-04-27 03:02:35
117,Klaksvik,62.2266,-6.589,34.72,65,85,6.98,FO,2022-04-27 02:58:51
118,Moose Factory,51.2585,-80.6094,17.91,84,100,12.21,CA,2022-04-27 03:02:36
119,Capoterra,39.1763,8.9718,55.53,88,0,4.61,IT,2022-04-27 03:02:36
120,Podyuga,61.095,40.8647,34.0,92,100,7.76,RU,2022-04-27 03:02:38
121,Warrington,53.3925,-2.5802,45.27,82,100,6.91,GB,2022-04-27 03:02:38
122,Aguimes,27.9054,-15.4461,61.43,72,40,21.85,ES,2022-04-27 03:02:39
123,Rio Grande,-32.035,-52.0986,68.95,90,54,17.92,BR,2022-04-27 03:00:38
124,Dingle,10.9995,122.6711,86.22,69,100,10.54,PH,2022-04-27 03:02:39
125,Lethem,3.3803,-59.7968,78.31,84,100,1.9,GY,2022-04-27 03:02:40
126,Bontang,0.1333,117.5,81.19,85,100,6.02,ID,2022-04-27 03:02:41
127,Eregli,37.5133,34.0467,56.46,25,84,2.08,TR,2022-04-27 03:02:41
128,Taoudenni,22.6783,-3.9836,73.62,27,0,10.6,ML,2022-04-27 03:02:42
129,Arraial Do Cabo,-22.9661,-42.0278,75.29,91,1,15.75,BR,2022-04-27 03:02:42
130,Zhigansk,66.7697,123.3711,21.61,80,28,15.41,RU,2022-04-27 03:02:43
131,Okhotsk,59.3833,143.3,31.42,74,93,4.21,RU,2022-04-27 03:02:44
132,Guerrero Negro,27.9769,-114.0611,62.33,80,7,13.4,MX,2022-04-27 03:02:44
133,Torbay,47.6666,-52.7314,35.76,96,100,6.91,CA,2022-04-27 03:02:45
134,Pavlovskaya Sloboda,55.8156,37.0828,48.11,87,87,4.38,RU,2022-04-27 03:02:45
135,Dikson,73.5069,80.5464,16.63,87,95,11.86,RU,2022-04-27 03:02:46
136,Mahebourg,-20.4081,57.7,73.26,80,22,8.41,MU,2022-04-27 03:02:47
137,Zeya,53.75,127.2667,44.01,29,100,8.68,RU,2022-04-27 03:02:47
